Category,Region,Identifier,Description,Value unit / format,Native periodicity,Source response format,Max history available,Recommended storage horizon,Institution / endpoint,Status,Notes / quirks,In database,Stored periodicity,Stored from,Stored to,Stored observations,Freshness,Open data-quality flags,Synced
Equity index,NO,equity.NO.osebx,OSEBX (Oslo Børs) — daily close level,index points (local currency),daily (trading days),"yfinance object (internal, not raw CSV/JSON)",yf.Ticker(...).history(period='max') — effectively full listed history,full (cheap; yfinance 'max' costs nothing extra over a shorter pull),"Yahoo Finance, ticker OSEBX.OL",ok,Latest bar can carry a NaN close while a session is open (seen on ^GDAXI/^SSMI/^HSI/^N225) — must dropna before storage.,yes,weekly,2013-03-08,2026-08-27,704,"fresh (2d old, limit 14d)",—,2026-08-29
Equity index,EM,equity.EM.msci_em,MSCI EM (proxy: EEM ETF) — daily close level,index points (local currency),daily (trading days),"yfinance object (internal, not raw CSV/JSON)",yf.Ticker(...).history(period='max') — effectively full listed history,full (cheap; yfinance 'max' costs nothing extra over a shorter pull),"Yahoo Finance, ticker EEM",ok,Latest bar can carry a NaN close while a session is open (seen on ^GDAXI/^SSMI/^HSI/^N225) — must dropna before storage.,yes,weekly,2003-04-17,2026-08-27,"1,220","fresh (2d old, limit 14d)",—,2026-08-29
Volatility index,US,vol.US.vix,VIX — CBOE volatility index,index points,daily,yfinance object,full,full,"Yahoo Finance, ^VIX",ok,,yes,weekly,1990-01-05,2026-08-27,"1,913","fresh (2d old, limit 14d)",—,2026-08-29
Volatility index,EZ,vol.EZ.vstoxx,VSTOXX — Eurozone volatility index,index points,daily,—,,,none found,no source found,No confirmed free daily source located. Left blank rather than guessed.,no,—,—,—,—,—,—,2026-08-29
Currency,—,fx.dxy,US Dollar Index (DXY) — daily close,"exchange rate (levels, not %)",daily,yfinance object,full,full,"Yahoo Finance, DX-Y.NYB",ok,,yes,weekly,1971-01-08,2026-08-27,"2,904","fresh (2d old, limit 14d)",—,2026-08-29
Currency,—,fx.eurusd,EUR/USD — daily close,"exchange rate (levels, not %)",daily,yfinance object,full,full,"Yahoo Finance, EURUSD=X",ok,,yes,weekly,2003-12-05,2026-08-28,"1,185","fresh (1d old, limit 14d)",—,2026-08-29
Currency,—,fx.gbpusd,GBP/USD — daily close,"exchange rate (levels, not %)",daily,yfinance object,full,full,"Yahoo Finance, GBPUSD=X",ok,,yes,weekly,2003-12-05,2026-08-28,"1,187","fresh (1d old, limit 14d)",—,2026-08-29
Currency,—,fx.usdjpy,USD/JPY — daily close,"exchange rate (levels, not %)",daily,yfinance object,full,full,"Yahoo Finance, USDJPY=X",ok,,yes,weekly,1996-11-01,2026-08-28,"1,555","fresh (1d old, limit 14d)",—,2026-08-29
Currency,—,fx.usdchf,USD/CHF — daily close,"exchange rate (levels, not %)",daily,yfinance object,full,full,"Yahoo Finance, USDCHF=X",ok,,yes,weekly,2003-09-19,2026-08-28,"1,198","fresh (1d old, limit 14d)",—,2026-08-29
Currency,—,fx.eurchf,EUR/CHF — daily close,"exchange rate (levels, not %)",daily,yfinance object,full,full,"Yahoo Finance, EURCHF=X",ok,,yes,weekly,2003-01-24,2026-08-28,"1,229","fresh (1d old, limit 14d)",—,2026-08-29
Currency,—,fx.usdcny,USD/CNY — daily close,"exchange rate (levels, not %)",daily,yfinance object,full,full,"Yahoo Finance, USDCNY=X",ok,,yes,weekly,2001-06-26,2026-08-28,"1,284","fresh (1d old, limit 14d)",—,2026-08-29
Currency,—,fx.eurnok,EUR/NOK — daily close,"exchange rate (levels, not %)",daily,yfinance object,full,full,"Yahoo Finance, EURNOK=X",ok,,yes,weekly,2000-03-17,2026-08-28,"1,378","fresh (1d old, limit 14d)",—,2026-08-29
Commodity,Global,commodity.brent,"Brent Crude (ICE, front month)",USD/bbl,daily,yfinance object,full,full,"Yahoo Finance, BZ=F",ok,,yes,weekly,2007-08-03,2026-08-27,995,"fresh (2d old, limit 14d)",—,2026-08-29
Commodity,Global,commodity.natgas_hh,"Natural Gas — Henry Hub (US) (NYMEX, front month)",USD/MMBtu,daily,yfinance object,full,full,"Yahoo Finance, NG=F",ok,,yes,weekly,2000-09-01,2026-08-27,"1,357","fresh (2d old, limit 14d)",—,2026-08-29
Commodity,Global,commodity.natgas_ttf,"Natural Gas — TTF (Europe) (ICE, front month)",EUR/MWh,daily,yfinance object,full,full,"Yahoo Finance, TTF=F",ok,,yes,weekly,2017-10-27,2026-08-27,462,"fresh (2d old, limit 14d)",—,2026-08-29
Commodity,Global,commodity.gold,"Gold (COMEX, front month)",USD/troy oz,daily,yfinance object,full,full,"Yahoo Finance, GC=F",ok,,yes,weekly,2000-09-01,2026-08-27,"1,357","fresh (2d old, limit 14d)",—,2026-08-29
Commodity,Global,commodity.silver,"Silver (COMEX, front month)",USD/troy oz,daily,yfinance object,full,full,"Yahoo Finance, SI=F",ok,,yes,weekly,2000-09-01,2026-08-27,"1,357","fresh (2d old, limit 14d)",—,2026-08-29
Commodity,Global,commodity.copper,"Copper (COMEX, front month)",USD/lb,daily,yfinance object,full,full,"Yahoo Finance, HG=F",ok,,yes,weekly,2000-09-01,2026-08-27,"1,357","fresh (2d old, limit 14d)",—,2026-08-29
Commodity,Global,commodity.bcom,Broad commodities (proxy: DBC ETF — no free broad index found) (NYSE Arca),USD,daily,yfinance object,full,full,"Yahoo Finance, DBC",ok,,yes,weekly,2006-02-10,2026-08-27,"1,073","fresh (2d old, limit 14d)",—,2026-08-29
Policy rate,US,policy_rate.US,Federal Reserve — Fed Funds,%,irregular (changes on central bank decision dates),CSV,~25y (startPeriod widened 2026-08-28; unbounded JP alone is 57MB),25y (matches BIS pull already in place),"BIS Data Portal, WS_CBPOL/1.0/D.US?format=csv",ok,,yes,irregular,2001-08-31,2026-08-25,"1,305","fresh (4d old, limit 150d)",—,2026-08-29
Policy rate,UK,policy_rate.UK,Bank of England — Bank Rate,%,irregular (changes on central bank decision dates),CSV,~25y (startPeriod widened 2026-08-28; unbounded JP alone is 57MB),25y (matches BIS pull already in place),"BIS Data Portal, WS_CBPOL/1.0/D.GB?format=csv",ok,,yes,irregular,2001-08-31,2026-08-24,"1,305","fresh (5d old, limit 150d)",—,2026-08-29
Policy rate,EZ,policy_rate.EZ,European Central Bank — Deposit Rate,%,irregular (changes on central bank decision dates),CSV,~25y (startPeriod widened 2026-08-28; unbounded JP alone is 57MB),25y (matches BIS pull already in place),"BIS Data Portal, WS_CBPOL/1.0/D.XM?format=csv",ok,"Decided 2026-08-28: no separate Germany row. Germany does not set its own policy rate — it IS this ECB rate, so a DE row would only ever be a duplicate value to keep in sync.",yes,irregular,2001-08-31,2026-08-25,"1,305","fresh (4d old, limit 150d)",—,2026-08-29
Policy rate,CH,policy_rate.CH,Swiss National Bank — Policy Rate,%,irregular (changes on central bank decision dates),CSV,~25y (startPeriod widened 2026-08-28; unbounded JP alone is 57MB),25y (matches BIS pull already in place),"BIS Data Portal, WS_CBPOL/1.0/D.CH?format=csv",ok,,yes,irregular,2001-08-31,2026-08-25,"1,305","fresh (4d old, limit 150d)",—,2026-08-29
Policy rate,CN,policy_rate.CN,People's Bank of China,%,irregular (changes on central bank decision dates),CSV,~25y (startPeriod widened 2026-08-28; unbounded JP alone is 57MB),25y (matches BIS pull already in place),"BIS Data Portal, WS_CBPOL/1.0/D.CN?format=csv",ok,,yes,irregular,2001-08-31,2026-07-19,"1,296","fresh (41d old, limit 150d)",—,2026-08-29
Policy rate,JP,policy_rate.JP,Bank of Japan,%,irregular (changes on central bank decision dates),CSV,~25y (startPeriod widened 2026-08-28; unbounded JP alone is 57MB),25y (matches BIS pull already in place),"BIS Data Portal, WS_CBPOL/1.0/D.JP?format=csv",ok,,yes,irregular,2006-03-10,2026-08-25,889,"fresh (4d old, limit 150d)",—,2026-08-29
Policy rate,NO,policy_rate.NO,Norges Bank — Key Policy Rate,%,irregular (changes on central bank decision dates),CSV,~25y (startPeriod widened 2026-08-28; unbounded JP alone is 57MB),25y (matches BIS pull already in place),"BIS Data Portal, WS_CBPOL/1.0/D.NO?format=csv",ok,Consolidated 2026-08-28: confirmed live at D.NO on the same BIS CBPOL endpoint already used for every other region — dropped the separate Norges Bank policy-rate fetch (Norway's YIELD CURVE still needs Norges Bank directly; only the policy rate moved).,yes,irregular,2001-08-31,2026-08-24,"1,305","fresh (5d old, limit 150d)",—,2026-08-29
Yield curve (nominal),US,curve.US.2Y,"US govt yield, 2Y",%,daily,"CSV (observation_date,<ID>; '.' = missing)",full (US 10y confirmed back to 1962),full,"FRED, fredgraph.csv?id=DGS2",ok,FRED requires a tool-shaped User-Agent (python-requests/curl) — a browser-style UA silently hangs behind Akamai until read-timeout.,yes,weekly,1976-06-04,2026-08-27,"2,622","fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),US,curve.US.5Y,"US govt yield, 5Y",%,daily,"CSV (observation_date,<ID>; '.' = missing)",full (US 10y confirmed back to 1962),full,"FRED, fredgraph.csv?id=DGS5",ok,FRED requires a tool-shaped User-Agent (python-requests/curl) — a browser-style UA silently hangs behind Akamai until read-timeout.,yes,weekly,1962-01-05,2026-08-27,"3,374","fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),US,curve.US.10Y,"US govt yield, 10Y",%,daily,"CSV (observation_date,<ID>; '.' = missing)",full (US 10y confirmed back to 1962),full,"FRED, fredgraph.csv?id=DGS10",ok,FRED requires a tool-shaped User-Agent (python-requests/curl) — a browser-style UA silently hangs behind Akamai until read-timeout.,yes,weekly,1962-01-05,2026-08-27,"3,374","fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),US,curve.US.30Y,"US govt yield, 30Y",%,daily,"CSV (observation_date,<ID>; '.' = missing)",full (US 10y confirmed back to 1962),full,"FRED, fredgraph.csv?id=DGS30",ok,FRED requires a tool-shaped User-Agent (python-requests/curl) — a browser-style UA silently hangs behind Akamai until read-timeout.,yes,weekly,1977-02-18,2026-08-27,"2,585","fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),UK,curve.UK.2Y,"UK govt yield, 2Y",%,daily,xlsx (zipped),"full, via one-time backfill from glcnominalddata.zip (~39MB, nominal only) — not re-pulled on the daily run","full (one-time backfill), then daily incremental: only the small current-snapshot workbook is fetched afterward","BoE GLC nominal workbook (latest-yield-curve-data.zip, sheet '4. spot curve' + '3. spot, short end' for 2y)",ok,"Requires a browser-style User-Agent. Decided 2026-08-28: pull the big archive once to seed history, then only the daily snapshot file after that — resolves the earlier no-percentile-context gap without a recurring 39MB daily cost.",yes,weekly,1979-01-05,2026-08-27,"2,487","fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),UK,curve.UK.5Y,"UK govt yield, 5Y",%,daily,xlsx (zipped),"full, via one-time backfill from glcnominalddata.zip (~39MB, nominal only) — not re-pulled on the daily run","full (one-time backfill), then daily incremental: only the small current-snapshot workbook is fetched afterward","BoE GLC nominal workbook (latest-yield-curve-data.zip, sheet '4. spot curve' + '3. spot, short end' for 2y)",ok,"Requires a browser-style User-Agent. Decided 2026-08-28: pull the big archive once to seed history, then only the daily snapshot file after that — resolves the earlier no-percentile-context gap without a recurring 39MB daily cost.",yes,weekly,1979-01-05,2026-08-27,"2,487","fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),UK,curve.UK.10Y,"UK govt yield, 10Y",%,daily,xlsx (zipped),"full, via one-time backfill from glcnominalddata.zip (~39MB, nominal only) — not re-pulled on the daily run","full (one-time backfill), then daily incremental: only the small current-snapshot workbook is fetched afterward","BoE GLC nominal workbook (latest-yield-curve-data.zip, sheet '4. spot curve' + '3. spot, short end' for 2y)",ok,"Requires a browser-style User-Agent. Decided 2026-08-28: pull the big archive once to seed history, then only the daily snapshot file after that — resolves the earlier no-percentile-context gap without a recurring 39MB daily cost.",yes,weekly,1979-01-05,2026-08-27,"2,487","fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),UK,curve.UK.30Y,"UK govt yield, 30Y",%,daily,xlsx (zipped),"full, via one-time backfill from glcnominalddata.zip (~39MB, nominal only) — not re-pulled on the daily run","full (one-time backfill), then daily incremental: only the small current-snapshot workbook is fetched afterward","BoE GLC nominal workbook (latest-yield-curve-data.zip, sheet '4. spot curve' + '3. spot, short end' for 2y)",ok,"Requires a browser-style User-Agent. Decided 2026-08-28: pull the big archive once to seed history, then only the daily snapshot file after that — resolves the earlier no-percentile-context gap without a recurring 39MB daily cost.",yes,weekly,2016-01-08,2026-08-27,556,"fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),EZ,curve.EZ.2Y,"EZ govt yield, 2Y",%,daily,CSV (csvdata),~15y (startPeriod widened 2026-08-28; full history ~3MB per tenor),15y,"ECB Data Portal, YC/B.U2.EUR.4F.G_N_C.SV_C_YM.SR_2Y (all-bonds euro area curve)",ok,"G_N_C = all-bonds blend, deliberately not G_N_A (AAA-only, which tracks the Bund so closely it duplicates Germany's row).",yes,weekly,2011-09-02,2026-08-27,783,"fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),EZ,curve.EZ.5Y,"EZ govt yield, 5Y",%,daily,CSV (csvdata),~15y (startPeriod widened 2026-08-28; full history ~3MB per tenor),15y,"ECB Data Portal, YC/B.U2.EUR.4F.G_N_C.SV_C_YM.SR_5Y (all-bonds euro area curve)",ok,"G_N_C = all-bonds blend, deliberately not G_N_A (AAA-only, which tracks the Bund so closely it duplicates Germany's row).",yes,weekly,2011-09-02,2026-08-27,783,"fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),EZ,curve.EZ.10Y,"EZ govt yield, 10Y",%,daily,CSV (csvdata),~15y (startPeriod widened 2026-08-28; full history ~3MB per tenor),15y,"ECB Data Portal, YC/B.U2.EUR.4F.G_N_C.SV_C_YM.SR_10Y (all-bonds euro area curve)",ok,"G_N_C = all-bonds blend, deliberately not G_N_A (AAA-only, which tracks the Bund so closely it duplicates Germany's row).",yes,weekly,2011-09-02,2026-08-27,783,"fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),EZ,curve.EZ.30Y,"EZ govt yield, 30Y",%,daily,CSV (csvdata),~15y (startPeriod widened 2026-08-28; full history ~3MB per tenor),15y,"ECB Data Portal, YC/B.U2.EUR.4F.G_N_C.SV_C_YM.SR_30Y (all-bonds euro area curve)",ok,"G_N_C = all-bonds blend, deliberately not G_N_A (AAA-only, which tracks the Bund so closely it duplicates Germany's row).",yes,weekly,2011-09-02,2026-08-27,783,"fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),DE,curve.DE.2Y,"DE govt yield, 2Y",%,daily,"CSV (~9-line metadata preamble, then date,value,flag; '.' = missing)",not measured this pass — treat as a follow-up check,"confirm depth, then match EZ's 15y","Deutsche Bundesbank, api.statistiken.bundesbank.de, BBSIS key with R02XX tenor segment",ok,"Single-issuer Bund curve — the literal benchmark, distinct from the EZ blended row.",yes,weekly,1997-08-08,2026-08-28,"1,517","fresh (1d old, limit 14d)",—,2026-08-29
Yield curve (nominal),DE,curve.DE.5Y,"DE govt yield, 5Y",%,daily,"CSV (~9-line metadata preamble, then date,value,flag; '.' = missing)",not measured this pass — treat as a follow-up check,"confirm depth, then match EZ's 15y","Deutsche Bundesbank, api.statistiken.bundesbank.de, BBSIS key with R05XX tenor segment",ok,"Single-issuer Bund curve — the literal benchmark, distinct from the EZ blended row.",yes,weekly,1997-08-08,2026-08-28,"1,517","fresh (1d old, limit 14d)",—,2026-08-29
Yield curve (nominal),DE,curve.DE.10Y,"DE govt yield, 10Y",%,daily,"CSV (~9-line metadata preamble, then date,value,flag; '.' = missing)",not measured this pass — treat as a follow-up check,"confirm depth, then match EZ's 15y","Deutsche Bundesbank, api.statistiken.bundesbank.de, BBSIS key with R10XX tenor segment",ok,"Single-issuer Bund curve — the literal benchmark, distinct from the EZ blended row.",yes,weekly,1997-08-08,2026-08-28,"1,517","fresh (1d old, limit 14d)",—,2026-08-29
Yield curve (nominal),DE,curve.DE.30Y,"DE govt yield, 30Y",%,daily,"CSV (~9-line metadata preamble, then date,value,flag; '.' = missing)",not measured this pass — treat as a follow-up check,"confirm depth, then match EZ's 15y","Deutsche Bundesbank, api.statistiken.bundesbank.de, BBSIS key with R30XX tenor segment",ok,"Single-issuer Bund curve — the literal benchmark, distinct from the EZ blended row.",yes,weekly,2000-08-04,2026-08-28,"1,361","fresh (1d old, limit 14d)",—,2026-08-29
Yield curve (nominal),CH,curve.CH.10Y,"CH govt yield, 10Y",%,daily,CSV,full,full,"FRED, IRLTLT01CHM156N (OECD-sourced long-term rate)",stale,"SNB retired its own Confederation-bond cubes (both rendoblid/rendoblim stop 2025-07/09-01) — this FRED monthly series is the only survivor, runs ~2 months behind, and is 10y-only. No successor cube or alternate institution found.",yes,monthly,1955-01-01,2026-06-01,858,"STALE (89d old, limit 70d)",stale,2026-08-29
Yield curve (nominal),CH,curve.CH.2Y,"CH govt yield, 2Y",%,—,—,,,none,no source found,Only the 10y point exists anywhere free (see CH 10Y row).,no,—,—,—,—,—,—,2026-08-29
Yield curve (nominal),CH,curve.CH.5Y,"CH govt yield, 5Y",%,—,—,,,none,no source found,Only the 10y point exists anywhere free (see CH 10Y row).,no,—,—,—,—,—,—,2026-08-29
Yield curve (nominal),CH,curve.CH.30Y,"CH govt yield, 30Y",%,—,—,,,none,no source found,Only the 10y point exists anywhere free (see CH 10Y row).,no,—,—,—,—,—,—,2026-08-29
Yield curve (nominal),CN,curve.CN.2Y,"CN govt yield, 2Y",%,—,—,,,none (ChinaBond JS-rendered; CFETS gateway returns 'Path not found' to every path),no source found,Whole curve unsourced. Only remaining lead would be a headless-browser scrape of ChinaBond — deliberately not pursued.,no,—,—,—,—,—,—,2026-08-29
Yield curve (nominal),CN,curve.CN.5Y,"CN govt yield, 5Y",%,—,—,,,none (ChinaBond JS-rendered; CFETS gateway returns 'Path not found' to every path),no source found,Whole curve unsourced. Only remaining lead would be a headless-browser scrape of ChinaBond — deliberately not pursued.,no,—,—,—,—,—,—,2026-08-29
Yield curve (nominal),CN,curve.CN.10Y,"CN govt yield, 10Y",%,—,—,,,none (ChinaBond JS-rendered; CFETS gateway returns 'Path not found' to every path),no source found,Whole curve unsourced. Only remaining lead would be a headless-browser scrape of ChinaBond — deliberately not pursued.,no,—,—,—,—,—,—,2026-08-29
Yield curve (nominal),CN,curve.CN.30Y,"CN govt yield, 30Y",%,—,—,,,none (ChinaBond JS-rendered; CFETS gateway returns 'Path not found' to every path),no source found,Whole curve unsourced. Only remaining lead would be a headless-browser scrape of ChinaBond — deliberately not pursued.,no,—,—,—,—,—,—,2026-08-29
Yield curve (nominal),JP,curve.JP.2Y,"JP govt yield, 2Y",%,daily,"CSV, Shift-JIS (cp932) encoding, title row on line 1","back to 1974 (archive file, then stitched to current month)",full (1974→now),"Japan MOF, jgbcme.csv (current month) stitched with historical/jgbcme_all.csv (archive)",ok,"Requires a browser-style User-Agent. Whole 1Y-40Y curve in one file, not per-tenor requests.",yes,weekly,1974-09-27,2026-08-27,"2,644","fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),JP,curve.JP.5Y,"JP govt yield, 5Y",%,daily,"CSV, Shift-JIS (cp932) encoding, title row on line 1","back to 1974 (archive file, then stitched to current month)",full (1974→now),"Japan MOF, jgbcme.csv (current month) stitched with historical/jgbcme_all.csv (archive)",ok,"Requires a browser-style User-Agent. Whole 1Y-40Y curve in one file, not per-tenor requests.",yes,weekly,1974-09-27,2026-08-27,"2,709","fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),JP,curve.JP.10Y,"JP govt yield, 10Y",%,daily,"CSV, Shift-JIS (cp932) encoding, title row on line 1","back to 1974 (archive file, then stitched to current month)",full (1974→now),"Japan MOF, jgbcme.csv (current month) stitched with historical/jgbcme_all.csv (archive)",ok,"Requires a browser-style User-Agent. Whole 1Y-40Y curve in one file, not per-tenor requests.",yes,weekly,1986-07-11,2026-08-27,"2,094","fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),JP,curve.JP.30Y,"JP govt yield, 30Y",%,daily,"CSV, Shift-JIS (cp932) encoding, title row on line 1","back to 1974 (archive file, then stitched to current month)",full (1974→now),"Japan MOF, jgbcme.csv (current month) stitched with historical/jgbcme_all.csv (archive)",ok,"Requires a browser-style User-Agent. Whole 1Y-40Y curve in one file, not per-tenor requests.",yes,weekly,1999-09-03,2026-08-27,"1,408","fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),NO,curve.NO.2Y,"NO govt yield, 2Y",%,daily,semicolon-delimited CSV,~25y (widened 2026-08-28) but API only actually reaches back to 2015 regardless of the request window,2015→now (source ceiling),"Norges Bank, GOVT_ZEROCOUPON/B.<tenor>",ok,"One request for the whole curve, not per-tenor (a single transient failure used to downgrade the whole curve to 'partial').",yes,weekly,2015-01-02,2026-08-27,609,"fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),NO,curve.NO.5Y,"NO govt yield, 5Y",%,daily,semicolon-delimited CSV,~25y (widened 2026-08-28) but API only actually reaches back to 2015 regardless of the request window,2015→now (source ceiling),"Norges Bank, GOVT_ZEROCOUPON/B.<tenor>",ok,"One request for the whole curve, not per-tenor (a single transient failure used to downgrade the whole curve to 'partial').",yes,weekly,2015-01-02,2026-08-27,609,"fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),NO,curve.NO.10Y,"NO govt yield, 10Y",%,daily,semicolon-delimited CSV,~25y (widened 2026-08-28) but API only actually reaches back to 2015 regardless of the request window,2015→now (source ceiling),"Norges Bank, GOVT_ZEROCOUPON/B.<tenor>",ok,"One request for the whole curve, not per-tenor (a single transient failure used to downgrade the whole curve to 'partial').",yes,weekly,2015-01-02,2026-08-27,609,"fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (nominal),NO,curve.NO.30Y,"NO govt yield, 30Y",%,—,—,,,none,no source found,Norges Bank's published curve stops at 10y — there is no 30y point anywhere.,no,—,—,—,—,—,—,2026-08-29
Yield curve (real),US,real_yield.US.5Y,"US TIPS real yield, 5Y",%,daily,CSV,full,full,"FRED, DFII5",ok,CPI-linked (TIPS) basis.,yes,weekly,2003-01-03,2026-08-27,"1,235","fresh (2d old, limit 14d)",—,2026-08-29
Yield curve (real),US,real_yield.US.10Y,"US TIPS real yield, 10Y",%,daily,CSV,full,full,"FRED, DFII10",ok,CPI-linked (TIPS) basis.,yes,weekly,2003-01-03,2026-08-27,"1,235","fresh (2d old, limit 14d)",—,2026-08-29
